id,class,vector
10,PathTraversal,aonost6T4kta=9220&ttbienua0uo=a%+bodyh-a]h&sncscb4tqHeeu=9764&eo=jhTciy&Bpds=878257703&Ydsii1igp=bina&hohnatnx=C~ss&anadah3rr=c4fn59esyotn5heew&uYodPoBaaae=/../../../../../../../Inetpub/iissamples/ng/erlaon/tearanor/tiet.php&hrbbe26=7&0iMIOinputY=381083050&BzhCb=~ds&XtLfhmdsb=tre8epSrshd&9zneSneosoa=325&tEbsa=b
16,PathTraversal,aToe=e64klJpjNL&neepyis2enr=Waccess_logphpet]le-zsBlo&uiCsslboee=elasttade&ounmdwyomtnab=e8aon&mehi9ea=yteton&dnttsn0re=7rvJ&qdooh2ssdk=I+tydnc&n6eudtaarrtnzta=riHvjUnNRcDn&4v=nhle+n n
27,PathTraversal,/lTSAMnJ/IRzmTy_TUDv/st4Rdses5caUneez/a2te2ouaUttnnqerRqc/iyuu4iaT3h6UgeeH/vexecwhereW1N0drop.ynph-A/yhYm.jpeg?9noalA8A9e=rBw&.3fgcG=riripizho&rilcSbl2cdm4A=807685202&idut2u5rhmdr=2153&nst8nueUp=%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2Fetc%5C%2Fpasswd%2500.html&Awsydvrel=%2936cmds&5sed=het3&eet=hrlseaLeJ&i44iw=60&ho3z=awp-ve9Eftpii&nrhsa=67604375
33,PathTraversal,/ikVe1/surntihtphcrmeiieRBo/oJdroprXGW6mUlV/khsm6een0gpobed/scriptIp4Z86-update43zcxT.sh?
40,PathTraversal,/xFVSvfTCP0agyb3/hbUn3y/dk8P5bzPrZaZh/n3ln0/oc3urae3easuat6meeym/sqe-YJzc17rDamMpDa.mspx?gZYzQWnode65iBB=2545&i9tplodrR=21408&t61Iu=0&H2tOHcS=%2F%2C%2C%2C%2Fortrm%2Fkean%2Fpasswd&aaeteeOe7lmlN=83359&hopuiiht9g1=bgsoundtii
67,PathTraversal,/t4JnjIjxP5R-Up-yYHQ/2WDDLQm/4fvI/wS./nRGg0-x.Dm9Myd/nrU7jcaAOp/w95.Kvn/LQAnXYpxp_HeaGIK/q4x7P95U/t4heyanhmdayywieGIe/rctme.exe?atyssdt54r=hLxWD5vjL&nuDatSfnwrhl=02508120&jlmebre=%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2Fetc%5C%2Fpasswd%2500.html&2coeet=copyaccess_log
69,PathTraversal,/nMXMlQvCZWTr/nmmCS8rWxoIkl.asp?Nnbyouiu0Du=%40xrondreesystemrprocessing-instruction%5C+%26&wdeleteftpm_kev=anobjectgeTid%2F&tH56=69mTfcp&tidamshitvd=4p%3Ft&ta1q2ha=..%2F..%2F..%2F..%2F..%2F..%2Fproc%2Fversion&MyTpo=hhzsnorxI
77,PathTraversal,/esI7DbACXLzwqDI/eHvii/m7dphsehebrtf/RneeersSene/hclh9/t9g4tHxFb30/sRallM1soNdV5eP5A@Lk/iU/fQGhM/11kEfa19VWk.nsf?nOrRukuBLY=cj9fy&460FqyFk=ouzrmled++cci&btfnRaewoo=aoEtid&1@uallr04iframer=cyaptAgooebr&itmeyiu=a5aTYm4BWt_&xr=frliltenqeQ&tod1iuohnlreefl=3812&e0ltme=twinnt&tfeh=u2M&70netcath81xperl4UO=ehonon&tna7ctEMH8so=hh&pthet=403&wgets.bm67yMF=file%3A%2F%2F%2Fu%3A%2Fto%2Fomt%2Fsb0lhocx.xml&1a=43position&a9Mau=vtrxa
79,PathTraversal,/OwtimsuDtkcDgfgs/e0Li60OkFRVy3zHj/9mEKFb4BxzTJ3VL-64.mspx?sirhtgsa=babgeoo48ae&dssCieia0=fsoeya&6In=..%2F..%2F..%2Fusr%2Fdsqqdsqsd.xml&eaklswt9bi1A=843&SFhwld2YF8=o%5C%5Bv+iee&s1EyiTv9Rw2sDus=6&ic=Iortde%26rtsse&ttVnenipermay=3376&jgHWoAkCu9mc=+%3Beg3&btgeNlk=9111&gacsgaw4inaRsa=TethLifysuaoiMsT&insertFnF@UbOCOn=peooEednka%26ntsga6&vlArereNdfFgv=ngfSjsdeaswheor&i7koreoiwslfv=+&lfqlcDaoahvr1Tw=626
82,PathTraversal,/n7s5rrvnnh1enacrnee4/s6qnVWKVKL_L/3oteeTsarat/2bnE8Ec4.png?lhttqEUuehr=.%2F..%2F.%2F..%2F.%2F..%2F.%2F..%2F&e8ibee=760317&62c=ddtn&ikrtau=a6rwewC&dquNSg2LEl3a=98&46eeQeei35nR=t%5C9uiheunion%40hvshutdown%5Dadhf&@2bXa.nEFUFM=79&hwhytgfseem9nk=to%5C&e0s=id%29na
84,PathTraversal,/.nsf/../winnt/system.ini?
85,PathTraversal,/xwp0tVPLzF5z7juI/psNzOlrZ@g/jv2q6xUXvVILCtRhA.sh?at=tboot.inir5&ii=06&ihoel=vXhroS&naieefm=iTtNioglraY&jvXxml_o=31185&Msr=%2Fetc%2Fpasswd
88,PathTraversal,/.nsf/../winnt/system.ini?
89,PathTraversal,/./?
95,PathTraversal,/Z-./ies7ttaswrreil/ghraEieeis1predu.png?as=en&W.BU-elFVIi=%28&VrIkdeleteNntmp=262&iiz-J=1owAJ5dw&ndwcor6slnlaVt=ndDze5SW00S&Gpui=n&deenau=adddhy6&en5RdodKnt=tls30c+&access_logadminUbV8wIMe=It9ils&yLFD=7so8a
106,PathTraversal,/pl/Vh4LKxj2lUmxOv/ery1ntqthluLtuh1vtiw/b2zQI/cM/itrsyes8slifsvhniSi/BZYRHeeL/r5zsx3-/eusCoeaetlegAe0nf7/8Cinput62phpkvePnjy.php?IdIiaacwo5wft=%2F..%2F..%2F..%2FInetpub%2Fiissamples%2Fllma%2Fasesanta%2Fnsnsde%2Fvean.cgi&CYY6=tIdlr+hfhen%3F+d%2Bbuxml&oeewiedeh=xs%3Ay6t+at%2Bazn5sk&Siaxavx16es=natG%3Bdu%3F%3Esrunionhn%24varetcpassthru%5D
110,PathTraversal,/teii/fpkhBincludekSDL/wgPFYcx53v/3ao7dfatnmtdatAuo/eK9/v1yh/asFh25ECkt/lh6hns.jpeg?
111,PathTraversal,/tPaBzmxqdJJq/ahEqaA/ngucceb/uHG1@MM0FJ/ChtmpFJzt02/tTIFJIt44jWuMWh9Ay/t2tiohiti4nctalt/tt/j6tpuCqZC/nhnaiweeSlDdbGd/tstem.mdb?hedeNsullhr=0350083&m2rhrtoarofoiA=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fusr%2Fyo.bat
114,PathTraversal,sagncoeL6=yrh&4Uh1tdn5jet=65082463&HjM6homeM=r2t+pdsdqe]n=htelnet&e7gtpmtodau=@eI<
116,PathTraversal,/4MYcYjSvnKYPL/lGITisV0dM@pl0qu4L/lwWno4Z.Dcmd7htpassVx/e3c.eSYych52bi/2GKMrz.AVP6c7rOMrN/xfBiG7H/1pnhtpassh0.jpeg?wvLPul7eres=gJ_90AmTtv&cwrft=tRilceeOlvdfimh&rnqAin2tihlhtea=eu%3BE&n_jz=l4Imbycit&2Kmailyz7T8O=7&etnoaa=file%3A%2F%2F%2Ft%3A%2Fsma%2Fir%2Ftes.xml&e724=3jeite&prcMcfmwod=cat%29fe&ke0Fncppqee8l=+ngs%7CgEJTcrn8e&dXR7=awnidarpottmRog6s&lIrlohldatisEi=ra4coElonfa20Laibu&fns2cap7aneoni=1959
131,PathTraversal,/oglat0bq/apetw/2E61OqYnd/nCtbT5-e5Z4oKr5EH4rG/a5pFxt/nYBh/YkG@V@TYxQU.asmx?yn5heSle=aAPOYU&pitfejt2ee=%2F.%2F..%2F..%2F..%2F.%2F..%2F..%2F.%2F..%2F..%2F.%2F..%2F..%2F..%2F&8hE1rvhrpS=33144
150,PathTraversal,/y3wgetJqY_DXt/atKSpsotncen0aioapl/e6nYja/rssedoboroEgo/syocdeay/eEPVtA1@/D0WIaeVob/erLQjdh-4FGhU/WAjCDI2BIx/4Ige/ltic.swf?s0asayaed=2470142553&os6jera=265753&lmphoeybFtHdT1=ioiNperlcat%3Ep9%7Chftp&g6lfbctfxR=%29&Fddvar6iK30f=646&Zexterm3F08_I=bOSyIx-C2&n@yjdmnK4=StYnAnhoiTs&inu9gg=..%2F..%2F..%2F..%2F..%2F..%2FWINDOWS%2Fautoexec.bat&etc-dz0ktH=eio5snen2ikfhn&azbehkm=oe%3Fl-paacnEwwNtSy5e&wKQ48JNvV=o&ox5=Sfyuckmsriexdshda&hiOrrnawjociMi=2498653&uiooIyxwea=nnpeWNetia
159,PathTraversal,///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////?
164,PathTraversal,eMtugir=1999&ec7nin7seIee6ai=52371&lt7ymsghhildtui=7&hteiea=9625&euhHhcre=h>shutdown8c
166,PathTraversal,/ap9mcriaLofdEM/f17cCVh5GPINTxSgIRk/o1KsbASOkLH09-zp2H/v1UC2Glogtdd/edY6krs7e/Rwindow.openbWOVCB.jsp?iJC76uiframe=27419&rphh4r=%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FInetpub%2Fiissamples%2Fisrasi%2Fitriic%2Flaseinma%2Fsiic.exe&srmOo4e=795823&nle6seidesaa=tf1iesOawhg5OtM
171,PathTraversal,/OnyeTtttFlealar/eAu/etabsss4iIh/FttTx8documentESchild7/etbt5s0hmewtiaa/haa7VB/gosheaar/apfXcOY38se/FEh112rfhttpHK/yK2M8IeG6athXTcdb/a0u/oMrR7NHFqsdY0cFwP.jpg?hslfoc4tnwmewam=4TRz&teKcopyTdC=%2F.%2F..%2F..%2F..%2F.%2F..%2F..%2F.%2F..%2F..%2F.%2F..%2F..%2F..%2F&pt=6psc&ii9tsre=edhetidocumentwo&en8aeoh=5&ie8ib=slhyeob&9nhagirt=R0i&Q7uI=bt&inputh10=et
175,PathTraversal,/0@jMTWyaWwkOsLjlinw/n9SLQrfYheWOZk0.X@/WR/sFl199@fkdy3g/b541CzfYservicese68/ski5d7lI/k4raa/DB7/avArteuIiwmesTh.asmx?ahaordwucBl36h=s%40abBn&U4XH=%2F.%2F..%2F..%2F..%2F.%2F..%2F..%2F.%2F..%2F..%2F.%2F..%2F..%2F..%2F
181,PathTraversal,/aLO3V/ih5autoexec-kEY/Uk6phpiOd-rWlHm_/Elhlinapitqsdnwtmr/et.mUt0Xs-iG/@Q_ic5P.html?emneoir=eueussvqWrI1slcsyo&snEmtfomTii=%252e%252e.%5C%25252f%2F%5C%25252f%2F...%5C%25252e..%252e&5-7k-Vh=06652&ehStsrta0eeo=0&aql8TrnahEgRv=catanechotehzevallhtaccese+&ZEBjLxXNkP=ns3autoexeclrrpe+gsnfT&s2ohymu=sn&otaPa0Mfec=Italaejtun&csm9os=sl&saideindsoF7=td7&jnzorFes=7132&l4srtbq3oyt=kere&1_QWqw=4239711&9in=hTnOLikz
184,PathTraversal,/zhes1tou20tareatmlnl/fU/bisQ/snnrEidieqinsso/nTBQQxui/FcedunhnnAnfnhdte7/ykTgC4-_g.png?-iafWK1s=52374192&klEgnhqAge=08756238&kssnotewl14sv=eneS%24xo5rsTdd&ermtuinslrozHoa=5427505&oafsaihsa8ttngr=t%3D+9dqgezunull&aads1ynekHony=p&uoiL7=u%40hZX&mnlsilasHntqve=k%29&Neya2aas6Tjy=yac&er=%5C.%5C.%5C%2F%5C.%5C.%5C%2Fetc%5C%2FoahWi.conf
190,PathTraversal,/anoi4tn3eiljp/hUkDAPEK8f7Z8yZv/oX.n-GwU.shtml?Tfa7eu=X&ixexSHlb62=06491&hnr3xsafrNiuruo=eTLAruw91H&pt6omaqetrshgwq=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd&1ttRtascit9=861787&RrtSo6belt=vjise1N6&5vbscriptjWZ@X2j@=81&nurhtTrestbWeBg=aefe+eS&susrjiIm6aYxf=48
192,PathTraversal,/EsErhplibvbscriptJmail_/caHerti.tiff?woto=olocationaNL%26rni&yVltAseueaNEg=rT5%25&rTtrzRt55a=doleacEeewneZ8fdi&qdrsdan7Ng=fyghe8+Iw&vr6ttdneecx=28&nmO9l=023451&Orw=collection%28+++file%3A%2F%2F%2Fc%3A%2Faeroh%2F0mr7.xml+++%29&voix=qi&utgreyr2eO=id4iwba2sd&T5tmaiei=37998138&osdtrmgR=l9eteaoaTarqmoeon&1eatn=56042305
194,PathTraversal,/../../?
200,PathTraversal,/uy@zU8@J/an_Jo.asp?hrb=%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2F%5C.%5C.%5C%2Fetc%5C%2Fpasswd%2500.html&ootOecniesppsy=726933249
223,PathTraversal,/i9d3-hHelFf/Smpositionzlt8x/bCdYku7l.exe?pwoiop8wNcen=4482&srosc7wubw4o=lbrph&cutnisemePesll=i7l5lwmuheeidhfei&eEtrtncT=wheretwdbr+r6ar&tw3udoyasy5t=tDE%40&Ereerov=527994&rru4u=t%3A%5Cautoexec.bat&n7Sgawaye=8858328&wwRttltsa4rse=13aTlDtrediyi&ll6nyip=le%3Ao0tzoai8bin8bsam%40f%26Ch&1ex=2v-kFDdYW&ogliri2=7139&shecldenueO1aol=s+de&FlAX=60091
224,PathTraversal,LorezY=animg(0&rs0L8trear59Oo=+S e&yr=3579591&sdahcn0=\.\.\/\.\.\/\.\.\/\.\.\/\.\.\/\.\.\/\.\.\/etc\/passwd%00.html&4a=5892559&iv7Ti=seziframe3]bw8d&peimesseto6udam=833143&aaEaEejisei3sr=<slocationlo&gwrus=88273600&tcmjdTU=92336401&sciheguNDsmlua=lstnnealoebs&ftmsI2ocly1OE3=:nnmt;he6'+childlnt&tme=ddsaoT1
225,PathTraversal,/a4efE.iXRY1pv/dqx2KTalMJwJh.tiff?AaiiIwucsw=5&0iuotcshhxhsma=bJdy_2oSY&olczshowo8lstsf=l&vo=apHsprsaeilrm&Tein68oh=5212&scriptstyleggrqdelete=..%2F..%2F..%2FWINDOWS%2Fautoexec.bat&ule=enaeabeear&sMhcyoTowdnfta=oto&en9hoUeuoouot=+er3m%7E+%7Cshez&dmlj=eaetnahoeusrf%7Ere%2F&uxp9Ri=gwhemequenascaNts
233,PathTraversal,/ij6./VC2U0bgsoundIjYiframeyjkktelnet.tiff?i4andlH6ihae4s=04473518&ehomehoeerp5ota=+miheuni&olduh=doc%28+++file%3A%2F%2F%2Fc%3A%2FwnsEw%2Forr.xml+++%29&lsoUah=5mN&ttetll=%29otn&mi5owiaeSxq=31&2peeea2hsdxGjSs=0qc%5C&ewdEi7ieeMa=hs%7CS2esi6aa+o%26&3jzTu0rD=ueoecEeae&euwsinzg=Akwsat%3Dcn9sn&sn=%25u%5De&pnibth=05381680
236,PathTraversal,/unn3Rl1ehhstdt4ehi/qX7IX-tCiruZmailL/fzrVYfi@./hwscriptaccess_logul8Y0z/hgwieeeyr19/shemtalllmyrdeei/cCPYnlaSCLlG-/1rpUS.mdb?oea9t=eFc08j3A1&Ntbikvuruehs=eti5n&fsYE=..%2F..%2F..%2F..%2F..%2F..%2FWINDOWS%2Fautoexec.bat
